SOLUTION SEQUENCE
0: SHOP_methodm-deliver-supply_0_precondition(unit1,carrier1,bandage,robot-box1,area1,box2,central_warehouse)
1: SHOP_methodm-robot-box-is-there_5_precondition(robot-box1,central_warehouse,carrier1)
2: fill-box__DISJUNCT-0(robot-box1,carrier1,box2,bandage,central_warehouse,carrier1)
3: load-box-carrier(robot-box1,box2,carrier1,central_warehouse,capacity0,capacity1,capacity3)
4: SHOP_methodm-navigate-robot-box-via_3_precondition(central_warehouse,corridor1,robot-box1,carrier1)
5: move-robot-box__DISJUNCT-0__ANTECEDENT__CONSEQUENT____ANTECEDENT__ANTECEDENT(robot-box1,carrier1,central_warehouse,corridor1,box1,box2,box3,box4)
6: SHOP_methodm-navigate-robot-box_1_precondition(corridor1,area1,robot-box1,carrier1)
7: move-robot-box__DISJUNCT-0__ANTECEDENT__CONSEQUENT____ANTECEDENT__ANTECEDENT(robot-box1,carrier1,corridor1,area1,box1,box2,box3,box4)
8: deliver-content(robot-box1,carrier1,box2,unit1,bandage,area1,capacity1,capacity0)
9: SHOP_methodm-deliver-supply_0_precondition(unit1,carrier1,aspirine,robot-box1,area1,box1,central_warehouse)
10: SHOP_methodm-navigate-robot-box-via_3_precondition(area1,corridor1,robot-box1,carrier1)
11: move-robot-box__DISJUNCT-0__ANTECEDENT__ANTECEDENT__ANTECEDENT__ANTECEDENT(robot-box1,carrier1,area1,corridor1,box1,box2,box3,box4)
12: SHOP_methodm-navigate-robot-box_1_precondition(corridor1,central_warehouse,robot-box1,carrier1)
13: move-robot-box__DISJUNCT-1__ANTECEDENT__ANTECEDENT__ANTECEDENT__ANTECEDENT(robot-box1,carrier1,corridor1,central_warehouse,box1,box2,box3,box4,box1,box2,box3,box4)   
14: fill-box__DISJUNCT-0(robot-box1,carrier1,box1,aspirine,central_warehouse,carrier1)
15: load-box-carrier(robot-box1,box1,carrier1,central_warehouse,capacity0,capacity1,capacity3)
16: SHOP_methodm-navigate-robot-box-via_3_precondition(central_warehouse,corridor1,robot-box1,carrier1)
17: move-robot-box__DISJUNCT-0__CONSEQUENT____ANTECEDENT__ANTECEDENT__ANTECEDENT(robot-box1,carrier1,central_warehouse,corridor1,box1,box2,box3,box4)
18: SHOP_methodm-navigate-robot-box_1_precondition(corridor1,area1,robot-box1,carrier1)
19: move-robot-box__DISJUNCT-0__CONSEQUENT____ANTECEDENT__ANTECEDENT__ANTECEDENT(robot-box1,carrier1,corridor1,area1,box1,box2,box3,box4)
20: deliver-content(robot-box1,carrier1,box1,unit1,aspirine,area1,capacity1,capacity0)
21: SHOP_methodm-deliver-supply_0_precondition(unit2,carrier1,scalpel,robot-box1,area2,box3,central_warehouse)
22: SHOP_methodm-navigate-robot-box-via_3_precondition(area1,corridor1,robot-box1,carrier1)
23: move-robot-box__DISJUNCT-0__ANTECEDENT__ANTECEDENT__ANTECEDENT__ANTECEDENT(robot-box1,carrier1,area1,corridor1,box1,box2,box3,box4)
24: SHOP_methodm-navigate-robot-box_1_precondition(corridor1,central_warehouse,robot-box1,carrier1)
25: move-robot-box__DISJUNCT-1__ANTECEDENT__ANTECEDENT__ANTECEDENT__ANTECEDENT(robot-box1,carrier1,corridor1,central_warehouse,box1,box2,box3,box4,box1,box2,box3,box4)   
26: fill-box__DISJUNCT-0(robot-box1,carrier1,box3,scalpel,central_warehouse,carrier1)
27: load-box-carrier(robot-box1,box3,carrier1,central_warehouse,capacity0,capacity1,capacity3)
28: SHOP_methodm-navigate-robot-box-via_3_precondition(central_warehouse,corridor1,robot-box1,carrier1)
29: move-robot-box__DISJUNCT-0__ANTECEDENT__ANTECEDENT__CONSEQUENT____ANTECEDENT(robot-box1,carrier1,central_warehouse,corridor1,box1,box2,box3,box4)
30: SHOP_methodm-navigate-robot-box_1_precondition(corridor1,area2,robot-box1,carrier1)
31: move-robot-box__DISJUNCT-0__ANTECEDENT__ANTECEDENT__CONSEQUENT____ANTECEDENT(robot-box1,carrier1,corridor1,area2,box1,box2,box3,box4)
32: deliver-content(robot-box1,carrier1,box3,unit2,scalpel,area2,capacity1,capacity0)
33: SHOP_methodm-accompany-patient_7_precondition(unit1,area1,patient1)
34: SHOP_methodm-navigate-robot-patient_2_precondition(central_warehouse,corridor1,robot-patient1)
35: move-robot-patient__ANTECEDENT__ANTECEDENT(robot-patient1,central_warehouse,corridor1,patient1,patient2)
36: pick-up-patient(robot-patient1,patient1,corridor1,patient1,patient2,robot-patient1)
37: SHOP_methodm-navigate-robot-patient_2_precondition(corridor1,area1,robot-patient1)
38: move-robot-patient__CONSEQUENT____ANTECEDENT(robot-patient1,corridor1,area1,patient1,patient2)
39: deliver-patient(robot-patient1,patient1,unit1,area1)
40: SHOP_methodm-accompany-patient_7_precondition(unit2,area2,patient2)
41: SHOP_methodm-robot-patient-is-there_6_precondition(robot-patient1,area1)
42: pick-up-patient(robot-patient1,patient2,area1,patient1,patient2,robot-patient1)
43: SHOP_methodm-navigate-robot-patient-via_4_precondition(area1,corridor1,robot-patient1)
44: move-robot-patient__ANTECEDENT__CONSEQUENT__(robot-patient1,area1,corridor1,patient1,patient2)
45: SHOP_methodm-navigate-robot-patient_2_precondition(corridor1,area2,robot-patient1)
46: move-robot-patient__ANTECEDENT__CONSEQUENT__(robot-patient1,corridor1,area2,patient1,patient2)
47: deliver-patient(robot-patient1,patient2,unit2,area2)
