SOLUTION SEQUENCE
0: SHOP_methodm_deliver_supply_one_1_precondition(box3,carrier2,emergency_area,central_warehouse,robot_box_2,scalpel,trauma_unit)
1: SHOP_methodm_carrier_is_already_there_11_precondition(robot_box_2,central_warehouse,carrier2)
2: fill_box(robot_box_2,box3,central_warehouse,scalpel)
3: load_first_box(robot_box_2,carrier2,box3,central_warehouse)
4: SHOP_methodm_navigate_carrier_1_via_13_precondition(secondary_corridor,robot_box_2,central_warehouse,carrier2,box3)
5: move_carrier_one_box(robot_box_2,carrier2,box3,central_warehouse,secondary_corridor)
6: SHOP_methodm_navigate_carrier_1_via_13_precondition(main_corridor,robot_box_2,secondary_corridor,carrier2,box3)
7: move_carrier_one_box(robot_box_2,carrier2,box3,secondary_corridor,main_corridor)
8: SHOP_methodm_navigate_carrier_1_direct_12_precondition(box3,main_corridor,carrier2,robot_box_2,emergency_area)
9: move_carrier_one_box(robot_box_2,carrier2,box3,main_corridor,emergency_area)
10: unload_one_box(robot_box_2,carrier2,box3,emergency_area)
11: deliver_supply(robot_box_2,box3,emergency_area,scalpel,trauma_unit)
12: SHOP_methodm_deliver_supply_one_1_precondition(box2,carrier1,emergency_area,central_warehouse,robot_box_1,aspirine,trauma_unit)
13: SHOP_methodm_carrier_is_already_there_11_precondition(robot_box_1,central_warehouse,carrier1)
14: fill_box(robot_box_1,box2,central_warehouse,aspirine)
15: load_first_box(robot_box_1,carrier1,box2,central_warehouse)
16: SHOP_methodm_navigate_carrier_1_via_13_precondition(secondary_corridor,robot_box_1,central_warehouse,carrier1,box2)
17: move_carrier_one_box(robot_box_1,carrier1,box2,central_warehouse,secondary_corridor)
18: SHOP_methodm_navigate_carrier_1_via_13_precondition(main_corridor,robot_box_1,secondary_corridor,carrier1,box2)
19: move_carrier_one_box(robot_box_1,carrier1,box2,secondary_corridor,main_corridor)
20: SHOP_methodm_navigate_carrier_1_direct_12_precondition(box2,main_corridor,carrier1,robot_box_1,emergency_area)
21: move_carrier_one_box(robot_box_1,carrier1,box2,main_corridor,emergency_area)
22: unload_one_box(robot_box_1,carrier1,box2,emergency_area)
23: deliver_supply(robot_box_1,box2,emergency_area,aspirine,trauma_unit)
24: SHOP_methodm_deliver_supply_one_1_precondition(box1,carrier1,surgical_area,central_warehouse,robot_box_1,tongue,operation_unit)
25: SHOP_methodm_navigate_empty_carrier_via_10_precondition(robot_box_1,emergency_area,carrier1,main_corridor)
26: move_empty_carrier(robot_box_1,carrier1,emergency_area,main_corridor)
27: SHOP_methodm_navigate_empty_carrier_via_10_precondition(robot_box_1,main_corridor,carrier1,secondary_corridor)
28: move_empty_carrier(robot_box_1,carrier1,main_corridor,secondary_corridor)
29: SHOP_methodm_navigate_empty_carrier_direct_9_precondition(robot_box_1,secondary_corridor,carrier1,central_warehouse)
30: move_empty_carrier(robot_box_1,carrier1,secondary_corridor,central_warehouse)
31: fill_box(robot_box_1,box1,central_warehouse,tongue)
32: load_first_box(robot_box_1,carrier1,box1,central_warehouse)
33: SHOP_methodm_navigate_carrier_1_via_13_precondition(secondary_corridor,robot_box_1,central_warehouse,carrier1,box1)
34: move_carrier_one_box(robot_box_1,carrier1,box1,central_warehouse,secondary_corridor)
35: SHOP_methodm_navigate_carrier_1_via_13_precondition(main_corridor,robot_box_1,secondary_corridor,carrier1,box1)
36: move_carrier_one_box(robot_box_1,carrier1,box1,secondary_corridor,main_corridor)
37: SHOP_methodm_navigate_carrier_1_direct_12_precondition(box1,main_corridor,carrier1,robot_box_1,surgical_area)
38: move_carrier_one_box(robot_box_1,carrier1,box1,main_corridor,surgical_area)
39: unload_one_box(robot_box_1,carrier1,box1,surgical_area)
40: deliver_supply(robot_box_1,box1,surgical_area,tongue,operation_unit)
41: SHOP_methodm_accompany_patient_0_precondition(triage_unit,robot_patient_1,patient1,emergency_area,entrance)
42: SHOP_methodm_robot_patient_is_already_there_6_precondition(robot_patient_1,entrance)
43: pick_up_patient(robot_patient_1,patient1,entrance)
44: SHOP_methodm_navigate_robot_patient_via_8_precondition(robot_patient_1,entrance,patient1,main_corridor)
45: move_robot_with_patient(robot_patient_1,patient1,entrance,main_corridor)
46: SHOP_methodm_navigate_robot_patient_direct_7_precondition(robot_patient_1,main_corridor,patient1,emergency_area)
47: move_robot_with_patient(robot_patient_1,patient1,main_corridor,emergency_area)
48: drop_off_patient(robot_patient_1,patient1,emergency_area)
49: deliver_patient(robot_patient_1,patient1,emergency_area,triage_unit)
50: SHOP_methodm_accompany_patient_0_precondition(operation_unit,robot_patient_1,patient2,surgical_area,entrance)
51: SHOP_methodm_navigate_empty_robot_patient_via_5_precondition(robot_patient_1,emergency_area,main_corridor)
52: move_empty_robot_patient(robot_patient_1,emergency_area,main_corridor)
53: SHOP_methodm_navigate_empty_robot_patient_direct_4_precondition(robot_patient_1,main_corridor,entrance)
54: move_empty_robot_patient(robot_patient_1,main_corridor,entrance)
55: pick_up_patient(robot_patient_1,patient2,entrance)
56: SHOP_methodm_navigate_robot_patient_via_8_precondition(robot_patient_1,entrance,patient2,main_corridor)
57: move_robot_with_patient(robot_patient_1,patient2,entrance,main_corridor)
58: SHOP_methodm_navigate_robot_patient_direct_7_precondition(robot_patient_1,main_corridor,patient2,surgical_area)
59: move_robot_with_patient(robot_patient_1,patient2,main_corridor,surgical_area)
60: drop_off_patient(robot_patient_1,patient2,surgical_area)
61: deliver_patient(robot_patient_1,patient2,surgical_area,operation_unit)
